Model,Scaling method,Number of Features,Accuracy,F1-Score
vgg16,MinMax,2.5,0.701521580493067,-3.7992217142068796e-05
vgg16,KnnImpute,11.0,0.1888575197533759,0.73077849617038
vgg16,KnnImpute,0.5,0.08130341190707241,0.884099786713895
vgg16,KnnImpute,4.5,0.16477233437753713,0.7651125795331506
vgg16,Standardization,0.5,0.4075119657930773,0.41908066778253983
vgg16,KnnImpute,7.5,0.1733443279769854,0.7528929707472521
vgg16,KnnImpute,18.5,0.22974605171774384,0.6724907876417083
vgg16,KnnImpute,3.5,0.16001977929016992,0.7718874753875754
vgg16,KnnImpute,6.5,0.1693322820218078,0.7586122507997328
vgg16,KnnImpute,13.0,0.1958480450386809,0.7208133132519214
vgg16,Standardization,1.5,0.701521580493067,-3.7992217142068796e-05
vgg16,KnnImpute,14.0,0.20041051220093148,0.7143093928774593
vgg16,Standardization,12.5,0.701521580493067,-3.7992217142068796e-05
vgg16,KnnImpute,16.5,0.21492935995538587,0.6936123826052081
vgg16,KnnImpute,10.0,0.18642946163032145,0.7342397587143765
vgg16,MinMax,11.5,0.701521580493067,-3.7992217142068796e-05
vgg16,KnnImpute,6.0,0.1676938604716277,0.760947865045977
vgg16,KnnImpute,8.0,0.17589442265747118,0.749257741789015
vgg16,Standardization,8.5,0.701521580493067,-3.7992217142068796e-05
vgg16,MinMax,9.0,0.701521580493067,-3.7992217142068796e-05
vgg16,KnnImpute,1.0,0.10865617423857342,0.8451076839985925
vgg16,KnnImpute,3.0,0.1535100643170849,0.7811672501979444
vgg16,KnnImpute,14.5,0.20295854691195642,0.71067710046142
vgg16,MinMax,5.5,0.701521580493067,-3.7992217142068796e-05
vgg16,KnnImpute,19.5,0.23822160211852086,0.6604086612447257
vgg16,KnnImpute,7.0,0.17119278689531234,0.7559600507677652
vgg16,KnnImpute,15.5,0.2085882185938052,0.7026518511717248
vgg16,KnnImpute,15.0,0.20568444904291422,0.7067912532261753
vgg16,MinMax,4.0,0.701521580493067,-3.7992217142068796e-05
vgg16,Standardization,17.5,0.7006090847364284,-4.265833513894535e-05
vgg16,MinMax,4.5,0.7006090847364284,-4.265833513894535e-05
vgg16,Standardization,17.0,0.7006090847364284,-4.265833513894535e-05
vgg16,MinMax,2.0,0.7006090847364284,-4.265833513894535e-05
vgg16,Standardization,12.5,0.7006090847364284,-4.265833513894535e-05
vgg16,KnnImpute,4.0,0.16323784356417045,0.7669958746249745
vgg16,KnnImpute,17.0,0.27795855663288344,0.603244633936312
vgg16,Standardization,9.0,0.7006090847364284,-4.265833513894535e-05
vgg16,KnnImpute,3.5,0.15797209695868997,0.774512150602819
vgg16,KnnImpute,11.0,0.23340613286571413,0.6668383344321529
vgg16,KnnImpute,15.0,0.26156496608256935,0.6266446871625151
vgg16,KnnImpute,5.0,0.17214314396643815,0.7542845346187182
vgg16,KnnImpute,13.5,0.25028222426940916,0.6427495641359369
vgg16,MinMax,3.5,0.7006090847364284,-4.265833513894535e-05
vgg16,KnnImpute,16.0,0.26956891352923584,0.6152199296820289
vgg16,KnnImpute,10.5,0.2303201863277111,0.6712431847924728
