Pretrained model,Lower Bound,Upper Bound,Scaling,Alpha,Features,Mean Square Error,R2-Square,,,,,,,
resnet101,0,340.csv,Standardization,1.0,0,0.701521580493067,-3.7992217142068796e-05,,,,,,,
resnet101,0,340.csv,KnnImpute,4.5,33,0.3171481697044721,0.5478967038424042,,,,,,,
resnet101,0,340.csv,KnnImpute,12.5,17,0.3849827649226531,0.4511966531366617,,,,,,,
resnet101,0,340.csv,KnnImpute,6.0,27,0.3348486834525959,0.5226641426182088,,,,,,,
resnet101,0,340.csv,Standardization,17.5,0,0.701521580493067,-3.7992217142068796e-05,,,,,,,
resnet101,0,340.csv,KnnImpute,1.5,65,0.1845669411737621,0.7368948320145192,,,,,,,
resnet101,0,340.csv,Standardization,16.0,0,0.701521580493067,-3.7992217142068796e-05,,,,,,,
resnet101,0,340.csv,KnnImpute,18.5,12,0.43749586059965273,0.37633781454038784,,,,,,,
resnet101,0,340.csv,KnnImpute,15.5,14,0.4142171662305734,0.40952222315391684,,,,,,,
resnet101,0,340.csv,KnnImpute,3.5,41,0.2970242415121872,0.5765839079207018,,,,,,,
resnet101,0,340.csv,Standardization,8.0,0,0.701521580493067,-3.7992217142068796e-05,,,,,,,
resnet101,0,340.csv,KnnImpute,19.0,12,0.4401245022919657,0.37259061469175114,,,,,,,
resnet101,0,340.csv,KnnImpute,3.0,48,0.27531232779467885,0.6075348283271533,,,,,,,
resnet101,0,340.csv,MinMax,15.0,0,0.701521580493067,-3.7992217142068796e-05,,,,,,,
resnet101,0,340.csv,KnnImpute,19.5,12,0.4429343112686537,0.36858515597787134,,,,,,,
resnet101,0,340.csv,MinMax,14.0,0,0.701521580493067,-3.7992217142068796e-05,,,,,,,
resnet101,0,340.csv,KnnImpute,6.5,23,0.3390722469014264,0.5166433386560534,,,,,,,
resnet101,0,340.csv,KnnImpute,7.0,23,0.3418872835181554,0.5126304277998646,,,,,,,
resnet101,0,340.csv,MinMax,14.5,0,0.701521580493067,-3.7992217142068796e-05,,,,,,,
