Model,Lower Bound,Upper Bound,Scaling method,Alpha,Mean Square Error,R2-Square
resnet50,0,153.csv,Standardization,2.0,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,153.csv,MinMax,3.0,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,153.csv,KnnImpute,3.5,56,0.2942216358338683,0.5811757863049196
resnet50,0,153.csv,MinMax,4.0,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,153.csv,KnnImpute,17.0,14,0.5192595700240233,0.2608345049044729
resnet50,0,153.csv,Standardization,15.5,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,153.csv,KnnImpute,4.5,50,0.3241870375226505,0.5385200660184348
resnet50,0,153.csv,KnnImpute,2.5,64,0.256923954388713,0.6342689997242659
resnet50,0,153.csv,MinMax,10.0,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,153.csv,KnnImpute,1.0,96,0.1430749678121561,0.7963329218684285
resnet50,0,153.csv,KnnImpute,18.0,15,0.5291839046086447,0.24670722423365932
resnet50,0,153.csv,MinMax,1.0,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,153.csv,Standardization,0.5,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,153.csv,KnnImpute,8.5,30,0.4375877898440446,0.3770942049024413
resnet50,0,153.csv,KnnImpute,16.5,17,0.5134871558112631,0.26905153094652345
resnet50,0,153.csv,Standardization,0.5,0,0.6981923510737713,-4.166040966957496e-05
resnet50,0,153.csv,MinMax,14.5,0,0.6981923510737713,-4.166040966957496e-05
resnet50,0,153.csv,Standardization,9.5,0,0.6981923510737713,-4.166040966957496e-05
resnet50,0,153.csv,MinMax,8.5,0,0.6981923510737713,-4.166040966957496e-05
resnet50,0,153.csv,Standardization,18.0,0,0.6981923510737713,-4.166040966957496e-05
resnet50,0,153.csv,KnnImpute,10.0,29,0.5095259437428733,0.27019084351356926
resnet50,0,153.csv,KnnImpute,4.5,55,0.3190584041775692,0.5430031626804767
resnet50,0,153.csv,MinMax,17.5,0,0.6981923510737713,-4.166040966957496e-05
resnet50,0,153.csv,Standardization,14.5,0,0.6981923510737713,-4.166040966957496e-05
resnet50,0,153.csv,KnnImpute,13.5,20,0.5733710680586824,0.17874357395862484
resnet50,0,153.csv,KnnImpute,15.5,17,0.5953234118123208,0.147300579397728
resnet50,0,153.csv,KnnImpute,10.5,25,0.5225059557766347,0.2515991864058724
resnet50,0,153.csv,KnnImpute,2.0,78,0.17331756496535106,0.751752099289617
resnet50,0,153.csv,MinMax,2.0,0,0.6981923510737713,-4.166040966957496e-05
resnet50,0,153.csv,KnnImpute,16.0,16,0.6001870369664755,0.1403342645028559
resnet50,0,153.csv,KnnImpute,17.0,17,0.6099985071547486,0.12628100407533804
resnet50,0,153.csv,KnnImpute,2.5,70,0.20622864534996105,0.7046125804692168
resnet50,0,153.csv,KnnImpute,6.0,45,0.38670384418766796,0.44611258798024755
resnet50,0,153.csv,KnnImpute,12.0,21,0.5479565392324682,0.215145559123328
resnet50,0,153.csv,Standardization,9.0,0,0.6981923510737713,-4.166040966957496e-05
resnet50,0,153.csv,MinMax,1.5,0,0.6981923510737713,-4.166040966957496e-05
resnet50,0,153.csv,KnnImpute,4.0,54,0.2902462068276064,0.5842717294781434
resnet50,0,153.csv,Standardization,19.0,0,0.6981923510737713,-4.166040966957496e-05
resnet50,0,153.csv,KnnImpute,3.5,55,0.26636578490718293,0.6184763677155228
resnet50,0,153.csv,KnnImpute,7.0,39,0.4242796929048544,0.392291582802167
resnet50,0,153.csv,KnnImpute,13.0,20,0.5667010521757776,0.18829723599493986
resnet50,0,153.csv,MinMax,11.5,0,0.6981923510737713,-4.166040966957496e-05
resnet50,0,153.csv,KnnImpute,15.0,17,0.5905407449227926,0.15415093536343638
resnet50,0,153.csv,Standardization,5.5,0,0.6981923510737713,-4.166040966957496e-05
resnet50,0,153.csv,KnnImpute,7.5,35,0.44580557329044673,0.3614594244012893
resnet50,0,153.csv,MinMax,16.5,0,0.6981923510737713,-4.166040966957496e-05
resnet50,0,153.csv,KnnImpute,14.0,20,0.5789739392356278,0.17071841500889307
resnet50,0,153.csv,KnnImpute,11.0,23,0.5310258997539947,0.23939581736492999
resnet50,0,153.csv,KnnImpute,8.0,31,0.4653616980250938,0.3334486055764514
resnet50,0,153.csv,Standardization,3.0,0,0.6981923510737713,-4.166040966957496e-05
