Model,Lower Bound,Upper Bound,Scaling method,Alpha,Mean Square Error,R2-Square
resnet50,0,85.csv,MinMax,0.5,0,0.701521580493067,-3.7992217142068796e-05
resnet50,0,85.csv,KnnImpute,4.5,48,0.34856775135542484,0.5031072401619896
resnet50,0,85.csv,KnnImpute,8.5,32,0.4440655314322354,0.36697257103023684
resnet50,0,85.csv,KnnImpute,5.0,46,0.36987454997141345,0.4727338222928884
resnet50,0,85.csv,MinMax,7.0,0,0.701521580493067,-3.7992217142068796e-05
resnet50,0,85.csv,KnnImpute,6.5,37,0.41037496581107163,0.4149993838002276
resnet50,0,85.csv,Standardization,5.5,0,0.701521580493067,-3.7992217142068796e-05
resnet50,0,85.csv,KnnImpute,9.0,31,0.44827511316296004,0.36097169838550813
resnet50,0,85.csv,KnnImpute,3.5,56,0.2977443487060376,0.5755573756338218
resnet50,0,85.csv,KnnImpute,13.5,19,0.4845580373928913,0.30924940828409075
resnet50,0,85.csv,KnnImpute,8.0,35,0.43747483993870323,0.37636778006127203
resnet50,0,85.csv,KnnImpute,14.0,19,0.48780125524245876,0.3046261134963172
resnet50,0,85.csv,MinMax,4.0,0,0.701521580493067,-3.7992217142068796e-05
resnet50,0,85.csv,KnnImpute,1.0,89,0.15062721535415882,0.7852768293882575
resnet50,0,85.csv,Standardization,10.0,0,0.701521580493067,-3.7992217142068796e-05
resnet50,0,85.csv,KnnImpute,1.5,83,0.18588569044320613,0.7350149192529962
resnet50,0,85.csv,KnnImpute,15.0,19,0.4946089562844379,0.2949215514829143
resnet50,0,85.csv,KnnImpute,6.0,41,0.4015504571196526,0.42757895968136705
resnet50,0,85.csv,Standardization,18.0,0,0.701521580493067,-3.7992217142068796e-05
resnet50,0,85.csv,KnnImpute,12.5,19,0.47814805677126815,0.31838700907820083
resnet50,0,85.csv,KnnImpute,17.0,17,0.5151646885481296,0.2656187990186393
resnet50,0,85.csv,KnnImpute,16.5,16,0.5105126663916628,0.2722503824602105
resnet50,0,85.csv,KnnImpute,11.5,22,0.4733145129257527,0.3252773565984658
resnet50,0,85.csv,Standardization,4.5,0,0.7006090847364284,-4.265833513894535e-05
resnet50,0,85.csv,Standardization,8.0,0,0.7006090847364284,-4.265833513894535e-05
resnet50,0,85.csv,KnnImpute,18.5,13,0.6683274123121038,0.04603588990245722
resnet50,0,85.csv,MinMax,2.5,0,0.7006090847364284,-4.265833513894535e-05
resnet50,0,85.csv,KnnImpute,9.0,29,0.6861692569632211,0.02056861272431676
resnet50,0,85.csv,MinMax,14.5,0,0.7006090847364284,-4.265833513894535e-05
resnet50,0,85.csv,KnnImpute,12.5,19,0.6769758159294386,0.0336912418922356
resnet50,0,85.csv,Standardization,3.5,0,0.7006090847364284,-4.265833513894535e-05
resnet50,0,85.csv,KnnImpute,14.0,17,0.6694702722078028,0.044404582696914274
resnet50,0,85.csv,KnnImpute,16.5,18,0.6693750368759719,0.044540520692133656
resnet50,0,85.csv,KnnImpute,9.5,26,0.6818313305239795,0.02676052713489485
resnet50,0,85.csv,MinMax,11.5,0,0.7006090847364284,-4.265833513894535e-05
resnet50,0,85.csv,KnnImpute,5.5,40,0.6336722470716755,0.09550233892105564
resnet50,0,85.csv,Standardization,5.5,0,0.7006090847364284,-4.265833513894535e-05
resnet50,0,85.csv,MinMax,10.5,0,0.7006090847364284,-4.265833513894535e-05
resnet50,0,85.csv,KnnImpute,7.0,40,0.6770333777471073,0.03360907870820906
resnet50,0,85.csv,KnnImpute,18.0,14,0.6684892507180347,0.04580488332087862
resnet50,0,85.csv,KnnImpute,13.5,19,0.6716256549201264,0.04132801017691534
resnet50,0,85.csv,Standardization,4.0,0,0.7006090847364284,-4.265833513894535e-05
resnet50,0,85.csv,MinMax,16.0,0,0.7006090847364284,-4.265833513894535e-05
resnet50,0,85.csv,KnnImpute,19.5,12,0.6679919525037761,0.046514722001260056
resnet50,0,85.csv,Standardization,10.0,0,0.7006090847364284,-4.265833513894535e-05
resnet50,0,85.csv,KnnImpute,7.5,36,0.6864913612499374,0.020108844168403528
resnet50,0,85.csv,KnnImpute,19.0,13,0.6680944029334503,0.04636848524488457
resnet50,0,85.csv,KnnImpute,3.0,60,0.45026936415041674,0.3572898472173599
resnet50,0,85.csv,MinMax,3.0,0,0.7006090847364284,-4.265833513894535e-05
resnet50,0,85.csv,Standardization,3.0,0,0.7006090847364284,-4.265833513894535e-05
resnet50,0,85.csv,KnnImpute,12.0,22,0.6792661287782163,0.030422071395292183
resnet50,0,85.csv,KnnImpute,1.0,98,0.14253362564824149,0.7965488758270428
resnet50,0,85.csv,MinMax,1.0,0,0.7006090847364284,-4.265833513894535e-05
resnet50,0,85.csv,Standardization,16.5,0,0.7006090847364281,-4.265833513894535e-05
resnet50,0,85.csv,Standardization,18.5,0,0.7006090847364281,-4.265833513894535e-05
resnet50,0,85.csv,Standardization,9.5,0,0.7006090847364281,-4.265833513894535e-05
resnet50,0,85.csv,Standardization,19.5,0,0.7006090847364281,-4.265833513894535e-05
resnet50,0,85.csv,KnnImpute,9.0,29,0.4760932579060456,0.32042907004137045
resnet50,0,85.csv,KnnImpute,6.5,36,0.41401679544151154,0.4090364145585038
resnet50,0,85.csv,Standardization,5.0,0,0.7006090847364281,-4.265833513894535e-05
resnet50,0,85.csv,Standardization,4.0,0,0.7006090847364281,-4.265833513894535e-05
resnet50,0,85.csv,KnnImpute,5.5,36,0.3963235067369597,0.4342916444096092
resnet50,0,85.csv,MinMax,15.5,0,0.7006090847364281,-4.265833513894535e-05
resnet50,0,85.csv,MinMax,12.0,0,0.7006090847364281,-4.265833513894535e-05
resnet50,0,85.csv,KnnImpute,14.0,20,0.5433585172531832,0.22441528683954326
resnet50,0,85.csv,KnnImpute,19.0,14,0.5719998599037913,0.1835329102523524
resnet50,0,85.csv,KnnImpute,6.0,36,0.40399998489537053,0.4233343134365505
resnet50,0,85.csv,MinMax,16.0,0,0.7006090847364281,-4.265833513894535e-05
resnet50,0,85.csv,KnnImpute,13.0,23,0.5318244417726556,0.24087891506857817
resnet50,0,85.csv,KnnImpute,8.5,29,0.4673233123181157,0.3329472058895624
resnet50,0,85.csv,KnnImpute,2.0,75,0.18673555228065708,0.7334554715648852
resnet50,0,85.csv,KnnImpute,3.5,54,0.2895772699681589,0.5866601944487566
resnet50,0,85.csv,MinMax,2.0,0,0.7006090847364281,-4.265833513894535e-05
resnet50,0,85.csv,MinMax,8.0,0,0.7006090847364281,-4.265833513894535e-05
resnet50,0,85.csv,KnnImpute,2.5,68,0.22126325752041462,0.6841709577233765
resnet50,0,85.csv,Standardization,3.0,0,0.7006090847364281,-4.265833513894535e-05
resnet50,0,85.csv,KnnImpute,17.5,15,0.5718606283055754,0.18373164809437814
resnet50,0,85.csv,KnnImpute,1.0,93,0.10300634515327872,0.8529697352251366
resnet50,0,85.csv,Standardization,0.5,0,0.7006090847364281,-4.265833513894535e-05
resnet50,0,85.csv,Standardization,1.0,0,0.7006090847364281,-4.265833513894535e-05
resnet50,0,85.csv,Standardization,14.5,0,0.7006090847364281,-4.265833513894535e-05
resnet50,0,85.csv,KnnImpute,18.0,15,0.571761050256868,0.18387378484183226
resnet50,0,85.csv,MinMax,7.5,0,0.7006090847364281,-4.265833513894535e-05
resnet50,0,85.csv,KnnImpute,1.5,85,0.32837724449171984,0.5312774845878435
resnet50,0,85.csv,Standardization,4.0,0,0.7006090847364281,-4.26583351387233e-05
resnet50,0,85.csv,Standardization,1.0,0,0.7006090847364281,-4.26583351387233e-05
resnet50,0,85.csv,KnnImpute,8.0,31,0.528354592371516,0.24583174467746582
resnet50,0,85.csv,MinMax,16.5,0,0.7006090847364281,-4.26583351387233e-05
resnet50,0,85.csv,KnnImpute,7.0,35,0.49773667676795813,0.28953546245666373
resnet50,0,85.csv,KnnImpute,6.0,34,0.466208008668955,0.33453917957425583
resnet50,0,85.csv,Standardization,9.0,0,0.7006090847364281,-4.26583351387233e-05
resnet50,0,85.csv,KnnImpute,17.5,14,0.6451298454548674,0.07914787336402662
resnet50,0,85.csv,KnnImpute,11.0,21,0.5486523343261155,0.21685894334687128
resnet50,0,85.csv,MinMax,2.5,0,0.7006090847364281,-4.26583351387233e-05
resnet50,0,85.csv,MinMax,1.5,0,0.7006090847364281,-4.26583351387233e-05
resnet50,0,85.csv,KnnImpute,16.0,17,0.6229968197526528,0.11074034103602304
resnet50,0,85.csv,KnnImpute,6.5,35,0.4810901122493619,0.31329660828820416
resnet50,0,85.csv,Standardization,3.0,0,0.7006090847364281,-4.26583351387233e-05
resnet50,0,85.csv,MinMax,12.5,0,0.7006090847364281,-4.26583351387233e-05
resnet50,0,85.csv,KnnImpute,2.0,67,0.3660665161374561,0.47748018131493963
resnet50,0,85.csv,KnnImpute,19.0,14,0.6545273785615955,0.06573392513727694
resnet50,0,85.csv,KnnImpute,15.5,17,0.6144672889602716,0.12291531112105014
resnet50,0,85.csv,KnnImpute,9.5,27,0.5408894061115319,0.2279396722973066
resnet50,0,85.csv,KnnImpute,4.5,47,0.4399644592675716,0.3719989691763024
resnet50,0,85.csv,Standardization,12.0,0,0.7006090847364281,-4.26583351387233e-05
resnet50,0,85.csv,MinMax,10.0,0,0.7006090847364281,-4.26583351387233e-05
resnet50,0,85.csv,KnnImpute,18.5,14,0.6513201192255538,0.07031193621686771
resnet50,0,85.csv,Standardization,13.0,0,0.7006090847364281,-4.26583351387233e-05
resnet50,0,85.csv,KnnImpute,5.0,42,0.44986135004746347,0.3578722426173697
resnet50,0,85.csv,KnnImpute,14.5,17,0.5982757251132945,0.14602699337710556
resnet50,0,85.csv,KnnImpute,0.5,118,0.2726287028744301,0.6108524158467428
resnet50,0,85.csv,KnnImpute,15.0,18,0.6064901258862428,0.13430183684605668
resnet50,0,85.csv,Standardization,0.5,0,0.7006090847364281,-4.26583351387233e-05
resnet50,0,85.csv,MinMax,11.5,0,0.7006090847364281,-4.26583351387233e-05
resnet50,0,85.csv,KnnImpute,7.5,34,0.514645255112237,0.26540032061441665
resnet50,0,85.csv,KnnImpute,10.5,25,0.545627303048517,0.22117684385130798
resnet50,0,85.csv,KnnImpute,8.5,30,0.5333624660038242,0.2386835540973451
resnet50,0,85.csv,KnnImpute,3.5,54,0.4138961755201043,0.4092085862723458
