Pretrained model,Lower Bound,Upper bound,Scaling,Features,Accuracy Score,F1 Score,Cohens Kappa Score
resnet101,0,340,MinMax,1282,0.4238095238095238,0.3308873276086391,0.11308900523560217
resnet101,0,340,Standardization,1208,0.6476190476190476,0.6363461135554159,0.46313825744489734
resnet101,0,340,Standardization,1473,0.6476190476190476,0.6363461135554159,0.46313825744489734
resnet101,0,340,MinMax,1194,0.4238095238095238,0.3308873276086391,0.11308900523560217
resnet101,0,340,Standardization,1307,0.580952380952381,0.4586259865458975,0.34860768417342247
resnet101,0,340,Standardization,1728,0.580952380952381,0.4586259865458975,0.34860768417342247
resnet101,0,340,MinMax,1119,0.43333333333333335,0.339293156622489,0.12866108786610864
resnet101,0,340,Standardization,1040,0.580952380952381,0.4586259865458975,0.34860768417342247
resnet101,0,340,MinMax,1341,0.43333333333333335,0.339293156622489,0.12866108786610864
resnet101,0,340,MinMax,1427,0.43333333333333335,0.339293156622489,0.12866108786610864
resnet101,0,340,MinMax,1426,0.43333333333333335,0.339293156622489,0.12866108786610864
resnet101,0,340,MinMax,1041,0.43333333333333335,0.339293156622489,0.12866108786610864
resnet101,0,340,MinMax,1049,0.43333333333333335,0.339293156622489,0.12866108786610864
resnet101,0,340,Standardization,1765,0.580952380952381,0.4586259865458975,0.34860768417342247
resnet101,0,340,Standardization,1043,0.580952380952381,0.4586259865458975,0.34860768417342247
resnet101,0,340,MinMax,1724,0.43333333333333335,0.339293156622489,0.12866108786610864
resnet101,0,340,MinMax,1192,0.43333333333333335,0.339293156622489,0.12866108786610864
resnet101,0,340,Standardization,1441,0.580952380952381,0.4586259865458975,0.34860768417342247
resnet101,0,340,MinMax,1834,0.43333333333333335,0.339293156622489,0.12866108786610864
resnet101,0,340,MinMax,1479,0.43333333333333335,0.339293156622489,0.12866108786610864
resnet101,0,340,MinMax,1513,0.43333333333333335,0.339293156622489,0.12866108786610864
resnet101,0,340,MinMax,1753,0.43333333333333335,0.339293156622489,0.12866108786610864
resnet101,0,340,MinMax,1694,0.43333333333333335,0.339293156622489,0.12866108786610864
resnet101,0,340,Standardization,1802,0.580952380952381,0.4586259865458975,0.34860768417342247
resnet101,0,340,Standardization,1302,0.580952380952381,0.4586259865458975,0.34860768417342247
