Pretrained model,Lower Bound,Upper bound,Scaling,Features,Accuracy Score,F1 Score,Cohens Kappa Score
vgg19,0,11,MinMax,366,0.6571428571428571,0.6596491228070175,0.49254933548127267
vgg19,0,11,Standardization,386,0.6285714285714286,0.6179894936779279,0.4450091482008538
vgg19,0,11,MinMax,320,0.6571428571428571,0.6596491228070175,0.49254933548127267
vgg19,0,11,MinMax,341,0.6571428571428571,0.6596491228070175,0.49254933548127267
vgg19,0,11,Standardization,420,0.6285714285714286,0.6179894936779279,0.4450091482008538
vgg19,0,11,Standardization,366,0.6285714285714286,0.6179894936779279,0.4450091482008538
vgg19,0,11,Standardization,265,0.6285714285714286,0.6179894936779279,0.4450091482008538
vgg19,0,11,MinMax,458,0.6571428571428571,0.6596491228070175,0.49254933548127267
vgg19,0,11,Standardization,266,0.6285714285714286,0.6179894936779279,0.4450091482008538
vgg19,0,11,Standardization,320,0.6285714285714286,0.6179894936779279,0.4450091482008538
vgg19,0,11,Standardization,289,0.6285714285714286,0.6179894936779279,0.4450091482008538
vgg19,0,11,MinMax,449,0.6571428571428571,0.6596491228070175,0.49254933548127267
vgg19,0,11,Standardization,331,0.6285714285714286,0.6179894936779279,0.4450091482008538
vgg19,0,11,MinMax,421,0.6571428571428571,0.6596491228070175,0.49254933548127267
vgg19,0,11,MinMax,295,0.6571428571428571,0.6596491228070175,0.49254933548127267
vgg19,0,11,MinMax,351,0.6571428571428571,0.6596491228070175,0.49254933548127267
vgg19,0,11,MinMax,277,0.6571428571428571,0.6596491228070175,0.49254933548127267
vgg19,0,11,MinMax,506,0.6571428571428571,0.6596491228070175,0.49254933548127267
vgg19,0,11,Standardization,400,0.6285714285714286,0.6179894936779279,0.4450091482008538
vgg19,0,11,MinMax,357,0.6571428571428571,0.6596491228070175,0.49254933548127267
vgg19,0,11,Standardization,469,0.6285714285714286,0.6179894936779279,0.4450091482008538
vgg19,0,11,Standardization,393,0.6285714285714286,0.6179894936779279,0.4450091482008538
vgg19,0,11,MinMax,364,0.6571428571428571,0.6596491228070175,0.49254933548127267
vgg19,0,11,Standardization,387,0.6285714285714286,0.6179894936779279,0.4450091482008538
vgg19,0,11,MinMax,302,0.6571428571428571,0.6596491228070175,0.49254933548127267
vgg19,0,11,MinMax,262,0.6571428571428571,0.6596491228070175,0.49254933548127267
vgg19,0,11,Standardization,499,0.6952380952380952,0.689540984377941,0.5437881873727087
vgg19,0,11,Standardization,272,0.6952380952380952,0.689540984377941,0.5437881873727087
vgg19,0,11,MinMax,455,0.7904761904761904,0.7920138888888889,0.6844908830157754
vgg19,0,11,MinMax,335,0.7904761904761904,0.7920138888888889,0.6844908830157754
vgg19,0,11,MinMax,386,0.7904761904761904,0.7920138888888889,0.6844908830157754
vgg19,0,11,Standardization,284,0.6952380952380952,0.689540984377941,0.5437881873727087
vgg19,0,11,MinMax,423,0.7904761904761904,0.7920138888888889,0.6844908830157754
vgg19,0,11,Standardization,509,0.6952380952380952,0.689540984377941,0.5437881873727087
vgg19,0,11,MinMax,414,0.7904761904761904,0.7920138888888889,0.6844908830157754
vgg19,0,11,Standardization,278,0.6952380952380952,0.689540984377941,0.5437881873727087
vgg19,0,11,MinMax,324,0.7904761904761904,0.7920138888888889,0.6844908830157754
vgg19,0,11,Standardization,366,0.6952380952380952,0.689540984377941,0.5437881873727087
vgg19,0,11,Standardization,489,0.6952380952380952,0.689540984377941,0.5437881873727087
vgg19,0,11,MinMax,353,0.7904761904761904,0.7920138888888889,0.6844908830157754
